ds,y
2012-05-01,1580
2012-06-01,1590
2012-07-01,1600
2012-08-01,1610
2012-09-01,1620
2012-10-01,1630
2012-11-01,1640
2012-12-01,1650
2013-01-01,1680
2013-02-01,1670
2013-03-01,1680
2013-04-01,1690
2013-05-01,1700
2013-06-01,1710
2013-07-01,1720
2013-08-01,1730
2013-09-01,1740
2013-10-01,1750
2013-11-01,1760
2013-12-01,1770
2014-01-01,1800
2014-02-01,1790
2014-03-01,1800
2014-04-01,1810
2014-05-01,1820
2014-06-01,1830
2014-07-01,1840
2014-08-01,1850
2014-09-01,1860
2014-10-01,1870
2014-11-01,1880
2014-12-01,1890
2015-01-01,1920
2015-02-01,1910
2015-03-01,1920
2015-04-01,1930
2015-05-01,1940
2015-06-01,1950
2015-07-01,1960
2015-08-01,1970
2015-09-01,1980
2015-10-01,1990
2015-11-01,2000
2015-12-01,2010
2016-01-01,2040
2016-02-01,2030
2016-03-01,2040
2016-04-01,2050
2016-05-01,2060
2016-06-01,2070
2016-07-01,2080
2016-08-01,2090
2016-09-01,2100
2016-10-01,2110
2016-11-01,2120
2016-12-01,2130
2017-01-01,2160
2017-02-01,2150
2017-03-01,2160
2017-04-01,2170
2017-05-01,2180
2017-06-01,2190
2017-07-01,2200
2017-08-01,2210
2017-09-01,2220
2017-10-01,2230
2017-11-01,2240
2017-12-01,2250
2018-01-01,2280
2018-02-01,2270
2018-03-01,2280
2018-04-01,2290
2018-05-01,2300
2018-06-01,2310
2018-07-01,2320
2018-08-01,2330
2018-09-01,2340
2018-10-01,2350
2018-11-01,2360
2018-12-01,2370
2019-01-01,2400
2019-02-01,2390
2019-03-01,2400
2019-04-01,2410
2019-05-01,2420
2019-06-01,2430
2019-07-01,2440
2019-08-01,2450
2019-09-01,2460
2019-10-01,2470
2019-11-01,2480
2019-12-01,2490
2020-01-01,2520
2020-02-01,2510
2020-03-01,2520
2020-04-01,2530
2020-05-01,2540
2020-06-01,2550
2020-07-01,2560
2020-08-01,2570
2020-09-01,2580
2020-10-01,2590
2020-11-01,2600
2020-12-01,2610
2021-01-01,2640
2021-02-01,2630
2021-03-01,2640
2021-04-01,2650
2021-05-01,2660
2021-06-01,2670
2021-07-01,2680
2021-08-01,2690
2021-09-01,2700
2021-10-01,2710
2021-11-01,2720
2021-12-01,2730
2022-01-01,2760
2022-02-01,2750
2022-03-01,2760
2022-04-01,2770
2022-05-01,2780
2022-06-01,2790
2022-07-01,2800
2022-08-01,2810
2022-09-01,2820
2022-10-01,2830
2022-11-01,2840
2022-12-01,2850
2023-01-01,2880
2023-02-01,2870
2023-03-01,2880
2023-04-01,2890
2023-05-01,2900
2023-06-01,2910
2023-07-01,2920
2023-08-01,2930
2023-09-01,2940
2023-10-01,2950
2023-11-01,2960
2023-12-01,2970
2024-01-01,3000
2024-02-01,2990
2024-03-01,3000
2024-04-01,3010
2024-05-01,3020
2024-06-01,3030
2024-07-01,3040
2024-08-01,3050
2024-09-01,3060
2024-10-01,3070
2024-11-01,3080
2024-12-01,3090
